value,dataset
3521418059.923445,gdp
2813571753.8725324,gdp
3825701438.999633,gdp
4520946818.545814,gdp
5224896718.67782,gdp
6203256538.709669,gdp
6971758282.293506,gdp
9747886187.393929,gdp
10109297047.543194,gdp
12416152732.056717,gdp
15856668555.833595,gdp
17805098206.314083,gdp
19907329777.58717,gdp
20146416757.598675,gdp
20497128555.69723,gdp
19134221644.73249,gdp
18116572395.077213,gdp
18753456497.815865,gdp
18053222687.412624,gdp
18799444490.11278,gdp
19955929052.1496,gdp
14266499429.874573,gdp
14502158192.090397,gdp
21216962289.557568,gdp
22307471355.677887,gdp
23702472100.00225,gdp
25779376632.72181,gdp
28049537324.857388,gdp
30374910059.50781,gdp
33049155473.49756,gdp
35933757401.763115,gdp
38749864977.02208,gdp
42964345101.172485,gdp
43702318276.33526,gdp
47632993912.83984,gdp
51627511756.53952,gdp
66610917871.45372,gdp
81658052383.2557,gdp
86883552689.31955,gdp
88290755580.51631,gdp
98868135189.60687,gdp
110802408134.92651,gdp
129780974539.91112,gdp
168165164238.41312,gdp
177750099368.1483,gdp
169302766914.39493,gdp
179897833535.12735,gdp
166208098815.07916,gdp
143249519478.30722,gdp
154792610860.847,gdp
185812458342.9553,gdp
202092611345.54083,gdp
214473497464.0941,gdp
251211844157.14008,gdp
273542601824.32532,gdp
239433170776.1275,gdp
240271389187.3809,gdp
243564813413.46655,gdp
273433056168.8136,gdp
272519342675.9929,gdp
288405283765.89685,gdp
268833638136.3681,gdp
265429291621.99844,gdp
287201651448.6776,gdp
260992227336.2812,gdp
267815037918.23972,gdp
355716369427.6711,gdp
442696185471.3294,gdp
516661066465.53375,gdp
580240749509.2242,gdp
665598701583.95,gdp
713502105052.1711,gdp
715485327250.4055,gdp
849409658737.6615,gdp
945439147816.6128,gdp
952675592818.5546,gdp
963347276805.0762,gdp
979689662429.07,gdp
899295676086.8356,gdp
829829959319.292,gdp
940105480733.6758,gdp
1012719339457.7202,gdp
1006527294483.0852,gdp
929074086484.0928,gdp
1086772164579.8656,gdp
1183962133998.8745,gdp
1236163044999.965,gdp
11884128412.35638,gdp
12685662254.548326,gdp
13606829296.953465,gdp
14439975113.76286,gdp
15769107619.64432,gdp
16934480009.67512,gdp
18048039301.765327,gdp
16495768073.4409,gdp
17022696447.026133,gdp
19301308226.682056,gdp
26697107727.570538,gdp
24507115744.83988,gdp
29493915342.496857,gdp
36902672687.49352,gdp
49688193508.801125,gdp
57280847233.57896,gdp
68386320009.24413,gdp
71790695539.89362,gdp
78779099935.40501,gdp
96682239143.4334,gdp
120501079996.36247,gdp
216911025160.50128,gdp
195917937082.0724,gdp
151222762742.84464,gdp
131218159345.53032,gdp
137802915765.2076,gdp
109237001606.11678,gdp
112294774121.17484,gdp
111227154884.74722,gdp
103934371464.6072,gdp
123711320144.87408,gdp
129942000513.29408,gdp
124599388202.38704,gdp
129732548073.78471,gdp
134776896049.75278,gdp
207176985178.4386,gdp
262600907503.91547,gdp
275742235273.20044,gdp
296152435737.04504,gdp
139468348132.66046,gdp
142140083285.94757,gdp
149451860838.10855,gdp
178692437188.28018,gdp
206982053949.0689,gdp
256100640349.77148,gdp
312409315139.6122,gdp
397088785487.8071,gdp
465683513908.3415,gdp
567937963599.4514,gdp
508552578501.96185,gdp
598697706331.0016,gdp
682233324561.0428,gdp
737799647336.1948,gdp
834160608935.9955,gdp
894585438237.9581,gdp
769367317617.821,gdp
692181085843.4884,gdp
685750159763.1329,gdp
768189587833.6237,gdp
823933630796.516,gdp
787146719022.4213,gdp
845993047006.8054,gdp
877140805320.3569,gdp
796586157553.094,gdp
1857337995.3379955,gdp
1897050116.5501163,gdp
2097326250.0,gdp
2080796250.0,gdp
2051236250.0,gdp
2253090000.0,gdp
2028553750.0,gdp
1099559027.7777777,gdp
652174990.8373039,gdp
1185315468.4629517,gdp
1880950864.4131143,gdp
2392764853.421074,gdp
3199640815.4162974,gdp
2258513974.0967965,gdp
2545964540.883832,gdp
3212121650.9775524,gdp
3480355258.04122,gdp
3922100793.540304,gdp
4348068242.195123,gdp
5611496257.142313,gdp
7184685781.518761,gdp
8052077248.146379,gdp
8896075004.635162,gdp
10677324852.882233,gdp
12881352893.68551,gdp
12044205549.65712,gdp
11926926615.801523,gdp
12890760315.14602,gdp
12319834195.331003,gdp
12776224496.97176,gdp
13228147516.116798,gdp
11386853113.0189,gdp
11861199830.83956,gdp
13019726211.736889,gdp
15156424015.197748,gdp
15401826127.253857,gdp
15162734205.246202,gdp
17930565118.81762,gdp
18916378860.54883,gdp
22977677860.79785,gdp
2723615451.3009768,gdp
2434747055.940175,gdp
2001444543.918851,gdp
2702982017.638028,gdp
2909316435.287398,gdp
3136284306.8546867,gdp
3039859187.4516416,gdp
3370870376.296824,gdp
3852147026.773019,gdp
4257253264.088344,gdp
4863526896.574075,gdp
5077183093.889678,gdp
6766743956.8888855,gdp
8707858912.12481,gdp
13209871625.904444,gdp
15557902754.033009,gdp
17728240932.315838,gdp
20972113684.95581,gdp
26364491313.447136,gdp
33243706859.659607,gdp
42345829079.206245,gdp
44348590460.92876,gdp
45207167470.34967,gdp
48801369800.36752,gdp
53698548293.07447,gdp
57937868670.193726,gdp
63692007897.38336,gdp
66745818375.492966,gdp
59089396860.43423,gdp
55634721572.73428,gdp
62048507531.33572,gdp
45715676428.2766,gdp
48003133346.995735,gdp
49945584452.65057,gdp
42543176828.923744,gdp
41764291671.77111,gdp
46941554225.35815,gdp
48177612042.15065,gdp
48187781984.48805,gdp
48640671734.97112,gdp
54790398570.328224,gdp
59413400923.63635,gdp
61516103406.16878,gdp
73482264190.92455,gdp
91913680985.17082,gdp
107046618669.707,gdp
123084258693.00974,gdp
142482739809.84927,gdp
180383848331.13455,gdp
150317292079.35913,gdp
177785053939.53052,gdp
218331946925.3036,gdp
227143746075.934,gdp
229701430292.1566,gdp
238942664192.59,gdp
187493855609.34464,gdp
180763839522.1508,gdp
189880896903.0733,gdp
194554483655.5277,gdp
193459662090.6768,gdp
164873415325.20148,gdp
186265418570.69662,gdp
225560256621.7572,gdp
239899491127.7424,gdp
512000000.0,gdp
524000000.0,gdp
509000000.0,gdp
500000000.0,gdp
493000000.0,gdp
518000000.0,gdp
560000000.0,gdp
675000000.0,gdp
573000000.0,gdp
570000000.0,gdp
640000000.0,gdp
638000000.0,gdp
643000000.0,gdp
673000000.0,gdp
671000000.0,gdp
612000000.0,gdp
639000000.0,gdp
647000000.0,gdp
721000000.0,gdp
750000000.0,gdp
871000000.0,gdp
78617711.09653251,gdp
89406608.14581512,gdp
113414397.3656347,gdp
150841639.29744396,gdp
186557081.99813676,gdp
220112572.20533124,gdp
227283850.83127123,gdp
253997897.22696805,gdp
308020261.16414887,gdp
411548748.3547291,gdp
446377776.79800063,gdp
388983266.1998864,gdp
375914743.5810058,gdp
327850042.5158724,gdp
330073080.6370984,gdp
346742714.67515206,gdp
481996012.869071,gdp
611299924.5405055,gdp
721425939.1515498,gdp
795489582.0449102,gdp
1028989692.0678709,gdp
1106891361.5394838,gdp
1209992020.2954278,gdp
1007090269.8695564,gdp
1017544068.8407956,gdp
1178745282.8678029,gdp
1224024139.212953,gdp
1180645571.8643036,gdp
1211953994.0571387,gdp
1240295103.079385,gdp
1432606188.693242,gdp
1548265808.0580215,gdp
1764279824.297522,gdp
2366941808.944043,gdp
2900245324.492212,gdp
3161084091.1167426,gdp
3459337986.44948,gdp
3957625367.219591,gdp
4102319399.0234303,gdp
3688976340.754897,gdp
3449925738.860686,gdp
3629133574.2778273,gdp
3188652765.361844,gdp
3193512950.024186,gdp
3271685596.663212,gdp
2789881258.503616,gdp
2896610479.7307653,gdp
3000162081.1197567,gdp
3218419896.9641023,gdp
3155149347.806392,gdp
2891001149.361105,gdp
3324683011.590301,gdp
3380602042.8428345,gdp
3727673593.019216,gdp
5879999999.999999,gdp
4432026143.79085,gdp
5538657322.021395,gdp
6535458385.481852,gdp
7675423799.362932,gdp
6506387246.890386,gdp
6152923310.4454565,gdp
9129594970.153011,gdp
8936079117.731356,gdp
15285592370.37398,gdp
17812704586.43969,gdp
23552057679.499435,gdp
36970900883.810905,gdp
52381025141.42681,gdp
65266415494.25839,gdp
88538665084.86345,gdp
70307196181.65387,gdp
83799474069.73146,gdp
111789747670.5905,gdp
128052915766.34274,gdp
132339109040.23174,gdp
135966802586.7132,gdp
90496420506.59566,gdp
52761617225.925285,gdp
73690154990.73123,gdp
79450688259.36636,gdp
70897962732.02774,gdp
48501561203.56864,gdp
66505129987.72355,gdp
104399746853.4014,gdp
84722957642.37566,gdp
77496296.2962963,gdp
88033333.33333333,gdp
109585185.18518518,gdp
132440740.74074072,gdp
149377777.77777776,gdp
166425925.9259259,gdp
184848148.14814812,gdp
212192592.59259257,gdp
246344444.4444444,gdp
297537037.037037,gdp
346840740.7407407,gdp
411374074.074074,gdp
455148148.1481481,gdp
478692592.5925925,gdp
504307407.4074074,gdp
525103703.7037037,gdp
565633333.3333333,gdp
625051851.8518518,gdp
616014814.8148148,gdp
679111111.111111,gdp
734392592.5925926,gdp
789762962.962963,gdp
835514814.8148148,gdp
900551851.8518518,gdp
877514814.8148148,gdp
897988888.8888888,gdp
947955555.5555556,gdp
1026181481.4814814,gdp
1143714814.8148148,gdp
1303548148.148148,gdp
1487300000.0,gdp
1557540740.7407403,gdp
1386444444.4444444,gdp
1298255555.5555556,gdp
1281337037.037037,gdp
1327107407.4074073,gdp
1325425925.9259255,gdp
1378829629.6296296,gdp
1437755555.555555,gdp
1489692592.5925925,gdp
1531151851.8518517,gdp
1661529629.6296296,gdp
1725351851.8518517,gdp
1410796296.296296,gdp
1601366666.6666665,gdp
1867733333.3333333,gdp
2033085185.185185,gdp
26772088212.098404,gdp
28352060773.228107,gdp
30601967880.987427,gdp
34974202379.52233,gdp
38564894020.04758,gdp
43095586226.76212,gdp
