time,latitude,longitude,depth,mag
2023-01-01 01:05:49.510656026,34.8019,-121.9243,7.77,1.53
2023-01-01 01:18:10.935678826,33.1688,-119.9133,9.07,1.65
2023-01-01 02:14:23.463854559,37.0406,-116.3485,7.24,1.29
2023-01-01 02:21:45.313513770,32.6126,-118.8101,17.08,1.56
2023-01-01 03:23:25.729233272,35.1088,-117.943,6.44,1.2
2023-01-01 04:07:51.969780551,38.1549,-117.4808,9.0,1.01
2023-01-01 04:08:48.821721661,34.1348,-118.0943,4.09,1.18
2023-01-01 04:22:17.788916142,33.5006,-119.4067,3.62,1.08
2023-01-01 04:32:25.022846854,37.2269,-117.14,6.52,1.23
2023-01-01 08:15:14.216285505,37.9939,-115.0244,11.99,1.4
2023-01-01 09:19:30.255464721,36.6549,-120.3683,4.68,1.59
2023-01-01 12:00:07.385550699,37.1994,-120.5974,5.5,1.06
2023-01-01 12:21:46.606385749,37.4798,-115.8355,7.27,1.04
2023-01-01 12:50:19.299128243,34.5035,-117.5764,8.08,1.15
2023-01-01 13:35:17.499369952,36.1284,-117.802,12.09,1.02
2023-01-01 14:09:24.999165834,37.5926,-118.4476,7.74,1.55
2023-01-01 14:13:31.645216510,34.4573,-120.9472,7.35,1.23
2023-01-01 14:31:15.651369603,33.7352,-120.3309,5.45,1.28
2023-01-01 15:00:42.053851457,33.8161,-120.8558,10.52,1.01
2023-01-01 15:52:23.922935829,32.9478,-117.0321,7.84,1.04
2023-01-01 16:03:08.610068790,37.746,-119.4326,5.1,1.24
2023-01-01 17:54:22.927624320,36.2157,-116.6062,8.82,1.21
2023-01-01 19:22:13.427295702,35.7847,-120.7897,4.86,1.08
2023-01-01 19:33:18.224132552,34.4729,-119.9609,10.19,2.42
2023-01-01 21:32:52.416504103,34.1742,-119.8794,9.98,1.72
2023-01-01 22:45:44.522209096,35.1554,-116.1728,12.67,1.57
2023-01-01 23:14:24.349326923,33.3803,-120.7462,4.11,1.32
2023-01-01 23:19:44.444281077,33.7619,-118.3552,5.25,1.91
2023-01-01 23:44:35.333852688,34.7309,-117.7549,7.83,1.32
2023-01-02 00:44:24.819586605,32.5297,-116.9991,8.81,2.05
2023-01-02 01:02:16.619228123,35.0885,-118.5354,9.24,1.9
2023-01-02 02:22:16.988350735,34.7405,-115.7146,11.69,1.39
2023-01-02 03:05:01.203176414,34.2231,-119.8539,7.42,1.23
